Country,Continent,Alcoholic_Beverages,Animal_fats,Animal_Products,Aquatic_Products_Other,Cereals_Excluding_Beer,Eggs,Fish_Seafood,Fruits_Excluding_Wine,Meat,Milk_Excluding_Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy_Roots,Stimulants,Sugar_And_Sweeteners,Sugar_Crops,Treenuts,Vegetable_Oils,Vegetables,Vegetal_Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Grains,Vegetables_Sum,Fruits,Protein,Grains_25,Vegetables_Sum_25,Fruits_25,Protein_25,Total_25,Max_of_4,Min_of_4,Healthy_Or_Not,Deaths_rate,Recovered_rate,Active_rate,Total_rate
Uganda,Africa,6.1671,0.0352,5.6473,0.0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0.0,0.0,0.744,2.6703,44.3536,4.1,41.0,0.000941947,0.0,0.000162638,0.000779309,44270000.0,23.422100000000004,47.7679,17.478299999999997,11.3316,19.518416666666667,29.854937500000002,43.69575,14.164499999999999,107.23360416666668,f,p,0.0,0.0,17.26615191725224,82.73384808274774,99.99999999999999
Ukraine,Europe,2.625,0.1753,13.1214,0.0006,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0.0,0.0807,0.647,9.4361,36.8777,26.1,3.5,0.056312296,0.001684231,0.022689535,0.03193853,42037000.0,21.222,46.9608,5.566800000000001,26.250400000000003,17.685000000000002,29.3505,13.917000000000002,32.813,93.7655,p,f,0.0,2.9908760956932037,40.29232798463767,56.716795919669124,100.0
United Arab Emirates,Asia,0.0,0.1896,10.5491,0.0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0.0,0.5838,0.7949,8.2695,39.4461,29.9,2.6,0.360494471,0.002754016,0.187064469,0.170675986,9586000.0,21.249499999999998,48.5105,8.1938,22.046099999999996,17.707916666666666,30.319062499999998,20.4845,27.557624999999998,96.06910416666666,v,g,1.0,0.7639551287320576,51.891078518094666,47.34496635317328,100.0
United Kingdom,Europe,5.2632,0.2754,18.8798,0.0006,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.224,0.2035,0.0653,5.1133,0.2461,2.4383,0.0,0.0901,0.7372,4.5851,31.1116,29.5,2.5,0.413203058,0.057712507,0.001780558,0.353709994,66833000.0,14.9218,36.4339,10.2183,38.425799999999995,12.434833333333332,22.7711875,25.54575,48.03224999999999,108.78402083333333,p,g,0.0,13.967105490298671,0.43091597836141854,85.60197877335168,100.00000024201177
United Republic of Tanzania,Africa,4.5185,0.0403,4.8022,0.0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0.0,1.2839,2.1761,0.0274,13.937,0.03,1.0345,0.0,0.042,0.9136,3.952,45.1973,7.1,30.7,0.000877511,3.62e-05,0.00031549,0.000525817,58005000.0,28.976200000000002,50.0629,11.333200000000001,9.6275,24.146833333333333,31.2893125,28.333000000000002,12.034375,95.80352083333334,v,p,0.0,4.125304412138423,35.95282566258429,59.92141409053562,99.99954416525833
United States of America,North America,4.8647,0.1681,21.2352,0.002,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,0.0,0.0197,0.3246,0.1893,0.049,2.839,0.2458,3.32,0.0,0.1772,0.9889,5.7249,28.7587,37.3,2.5,0.543872303,0.031712,0.135121965,0.393675586,329153000.0,12.6497,35.472500000000004,9.4079,42.469899999999996,10.541416666666665,22.1703125,23.519750000000002,53.087374999999994,109.31885416666665,p,g,0.0,5.830780465391707,24.84442841723455,72.38382683370439,103.05903571633064
Uruguay,South America,3.5664,0.21,17.8865,0.0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0.0,0.0131,1.0337,3.9333,32.1076,28.9,2.5,0.023387326,0.000625178,0.019465757,0.003296391,3519000.0,17.8202,37.0746,8.940999999999999,36.1642,14.850166666666667,23.171625,22.3525,45.20525,105.57954166666667,p,g,0.0,2.6731486960074013,83.23207621085027,14.094775093142328,100.0
Uzbekistan,Asia,0.6835,0.1353,14.4463,0.0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0.0,0.0649,0.6109,14.8354,35.554,15.3,6.3,0.010824296,4.48e-05,0.008475994,0.002303487,33471000.0,14.169199999999998,51.0003,5.8985,28.932100000000002,11.807666666666664,31.875187500000003,14.74625,36.165125,94.59422916666666,p,g,0.0,0.41388372971323023,78.30526807470896,21.280709618436152,99.99986142285834
Venezuela (Bolivarian Republic of),South America,2.5952,0.0403,14.7565,0.0,12.9253,0.3389,0.9456,7.646,3.8328,9.392,0.0702,0.2078,0.0281,0.3342,0.0009,2.5643,0.1479,3.4106,0.0,0.0009,1.3734,4.1474,35.2416,25.2,21.2,0.005295273,4.91e-05,0.001059055,0.004187123,28516000.0,19.4122,40.7624,10.2412,29.5841,16.17683333333333,25.4765,25.602999999999998,36.980124999999994,104.23645833333333,p,g,0.0,0.9272420893124869,20.000007553907043,79.0728447806185,100.00009442383802
Vietnam,Asia,1.4591,0.164,8.5765,0.0042,16.874,0.3077,2.6392,5.9029,4.4382,0.6069,0.0126,0.4149,0.841,0.2032,0.2074,1.0596,0.288,1.2846,0.815,0.307,0.2201,11.9508,41.4232,2.1,9.3,0.000342895,0.0,0.00029167,5.12e-05,95656000.0,21.8798,53.5941,7.362,17.1642,18.233166666666666,33.496312499999995,18.404999999999998,21.45525,91.58972916666667,v,g,1.0,0.0,85.06102451187681,14.931684626489158,99.99270913836597
Yemen,Asia,0.0364,0.0446,5.7874,0.0,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,0.2033,0.2827,0.0893,0.8645,0.0347,1.0794,0.2199,5.0468,0.0,0.0017,1.0811,3.2135,44.2126,14.1,38.9,0.001107606,0.00027433,4.8e-05,0.000785269,29162000.0,34.544,48.507200000000005,5.170800000000001,11.7781,28.786666666666665,30.317000000000004,12.927000000000003,14.722625,86.75329166666668,v,f,0.0,24.767832604734895,4.33367099853197,70.89786440304586,99.99936800631272
Zambia,Africa,5.736,0.0829,6.0197,0.0,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,0.2149,0.3048,1.8736,0.1756,0.0478,7.9649,0.0618,1.5632,0.0,0.0014,0.6657,3.4649,43.9789,6.5,46.7,0.005917922,3.92e-05,0.004361458,0.001517272,17861000.0,32.882099999999994,48.109500000000004,6.7543,12.2543,27.401749999999996,30.0684375,16.885749999999998,15.317875,89.6738125,v,p,1.0,0.6623946716431882,73.69914642335604,25.638594087586824,100.00013518258605
Zimbabwe,Africa,4.0552,0.0755,8.1489,0.0,22.624,0.2678,0.5518,2.2,2.6142,4.431,0.2012,0.2086,0.4498,0.4261,0.0252,2.987,0.1494,4.6485,0.0,0.0518,1.7103,2.3213,41.8526,12.3,51.3,0.001215432,2.73e-05,0.00019802,0.000990099,14645000.0,31.361800000000002,45.8842,6.2552,16.499,26.134833333333336,28.677625000000003,15.638000000000002,20.623749999999998,91.07420833333335,v,f,1.0,2.2461149615939027,16.292149622521045,81.4606658373319,99.99893042144686
